,allando_v_savvaltas_alacsony_v10,allando_v_savvaltas_alacsony_v100,allando_v_savvaltas_alacsony_v105,allando_v_savvaltas_alacsony_v110,allando_v_savvaltas_alacsony_v115,allando_v_savvaltas_alacsony_v120,allando_v_savvaltas_alacsony_v125,allando_v_savvaltas_alacsony_v130,allando_v_savvaltas_alacsony_v135,allando_v_savvaltas_alacsony_v140,allando_v_savvaltas_alacsony_v15,allando_v_savvaltas_alacsony_v20,allando_v_savvaltas_alacsony_v25,allando_v_savvaltas_alacsony_v30,allando_v_savvaltas_alacsony_v35,allando_v_savvaltas_alacsony_v40,allando_v_savvaltas_alacsony_v45,allando_v_savvaltas_alacsony_v5,allando_v_savvaltas_alacsony_v50,allando_v_savvaltas_alacsony_v55,allando_v_savvaltas_alacsony_v60,allando_v_savvaltas_alacsony_v65,allando_v_savvaltas_alacsony_v70,allando_v_savvaltas_alacsony_v75,allando_v_savvaltas_alacsony_v80,allando_v_savvaltas_alacsony_v85,allando_v_savvaltas_alacsony_v90,allando_v_savvaltas_alacsony_v95,allando_v_savvaltas_kozepes_v10,allando_v_savvaltas_kozepes_v100,allando_v_savvaltas_kozepes_v105,allando_v_savvaltas_kozepes_v110,allando_v_savvaltas_kozepes_v115,allando_v_savvaltas_kozepes_v120,allando_v_savvaltas_kozepes_v125,allando_v_savvaltas_kozepes_v130,allando_v_savvaltas_kozepes_v135,allando_v_savvaltas_kozepes_v140,allando_v_savvaltas_kozepes_v15,allando_v_savvaltas_kozepes_v20,allando_v_savvaltas_kozepes_v25,allando_v_savvaltas_kozepes_v30,allando_v_savvaltas_kozepes_v35,allando_v_savvaltas_kozepes_v40,allando_v_savvaltas_kozepes_v45,allando_v_savvaltas_kozepes_v5,allando_v_savvaltas_kozepes_v50,allando_v_savvaltas_kozepes_v55,allando_v_savvaltas_kozepes_v60,allando_v_savvaltas_kozepes_v65,allando_v_savvaltas_kozepes_v70,allando_v_savvaltas_kozepes_v75,allando_v_savvaltas_kozepes_v80,allando_v_savvaltas_kozepes_v85,allando_v_savvaltas_kozepes_v90,allando_v_savvaltas_kozepes_v95,allando_v_savvaltas_magas_v10,allando_v_savvaltas_magas_v100,allando_v_savvaltas_magas_v105,allando_v_savvaltas_magas_v110,allando_v_savvaltas_magas_v115,allando_v_savvaltas_magas_v120,allando_v_savvaltas_magas_v125,allando_v_savvaltas_magas_v130,allando_v_savvaltas_magas_v135,allando_v_savvaltas_magas_v140,allando_v_savvaltas_magas_v15,allando_v_savvaltas_magas_v20,allando_v_savvaltas_magas_v25,allando_v_savvaltas_magas_v30,allando_v_savvaltas_magas_v35,allando_v_savvaltas_magas_v40,allando_v_savvaltas_magas_v45,allando_v_savvaltas_magas_v5,allando_v_savvaltas_magas_v50,allando_v_savvaltas_magas_v55,allando_v_savvaltas_magas_v60,allando_v_savvaltas_magas_v65,allando_v_savvaltas_magas_v70,allando_v_savvaltas_magas_v75,allando_v_savvaltas_magas_v80,allando_v_savvaltas_magas_v85,allando_v_savvaltas_magas_v90,allando_v_savvaltas_magas_v95
allando_v_savvaltas_alacsony_v15,0.981594,0.952925,0.951681,0.953852,0.940736,0.939497,0.945803,0.949458,0.944505,0.948489,1.000000,0.989620,0.979245,0.979146,0.980048,0.977313,0.974246,0.941375,0.953205,0.957085,0.955148,0.960913,0.959148,0.939348,0.952542,0.947929,0.956197,0.948976,0.966272,0.950767,0.948498,0.951678,0.941173,0.940070,0.943897,0.947176,0.945500,0.946504,0.976634,0.968300,0.954450,0.952744,0.956401,0.954885,0.954299,0.918864,0.952329,0.956656,0.954362,0.958915,0.958873,0.939163,0.949720,0.944670,0.953663,0.947899,0.950303,0.946245,0.945442,0.941156,0.938360,0.937128,0.934797,0.938536,0.937281,0.934796,0.956917,0.953203,0.946363,0.945543,0.947893,0.943680,0.944007,0.912689,0.943068,0.950860,0.952804,0.958058,0.957143,0.935203,0.945814,0.934025,0.941382,0.943983
allando_v_savvaltas_alacsony_v20,0.980538,0.953577,0.954784,0.953498,0.945402,0.943340,0.943088,0.949294,0.948959,0.952668,0.989620,1.000000,0.981324,0.983110,0.982392,0.981734,0.977935,0.920464,0.959097,0.960365,0.960722,0.959174,0.961138,0.944496,0.955566,0.949976,0.957323,0.950234,0.967918,0.952140,0.953407,0.952516,0.945715,0.942268,0.941707,0.948300,0.948066,0.951691,0.970718,0.977721,0.960862,0.957189,0.961036,0.961176,0.957879,0.902719,0.958598,0.960223,0.960119,0.958284,0.960662,0.944363,0.954310,0.949644,0.955793,0.949847,0.953176,0.949018,0.950867,0.942313,0.943417,0.939842,0.933472,0.939102,0.939401,0.940010,0.952346,0.961048,0.949747,0.949728,0.951005,0.949226,0.947457,0.911748,0.948801,0.954812,0.958808,0.957266,0.959717,0.940758,0.950882,0.937904,0.943874,0.947044
allando_v_savvaltas_alacsony_v25,0.970213,0.952270,0.948588,0.949610,0.936242,0.937203,0.938485,0.946270,0.942419,0.947956,0.979245,0.981324,1.000000,0.992063,0.990544,0.986476,0.985951,0.911467,0.968073,0.971076,0.959153,0.956194,0.956723,0.940224,0.951324,0.947949,0.954911,0.947335,0.956265,0.948278,0.944271,0.945903,0.936802,0.933065,0.935073,0.942783,0.938920,0.944452,0.962821,0.964288,0.978507,0.971777,0.971847,0.965586,0.964859,0.889807,0.964389,0.968194,0.955983,0.953180,0.954077,0.940133,0.947770,0.943916,0.950762,0.943366,0.940333,0.947704,0.944163,0.935339,0.936685,0.932039,0.926815,0.932858,0.929987,0.931925,0.941192,0.944428,0.959761,0.958008,0.957453,0.950794,0.952092,0.883170,0.954052,0.966018,0.955322,0.953072,0.953641,0.938101,0.947013,0.932345,0.939181,0.942922
allando_v_savvaltas_alacsony_v30,0.974824,0.951479,0.947857,0.949018,0.938094,0.935353,0.937473,0.945473,0.942003,0.947805,0.979146,0.983110,0.992063,1.000000,0.993878,0.992829,0.988608,0.916203,0.972902,0.972915,0.964318,0.958851,0.961733,0.949199,0.957067,0.949200,0.955891,0.947330,0.962483,0.951211,0.947479,0.949553,0.938677,0.935447,0.936890,0.945672,0.942563,0.947180,0.965403,0.968388,0.976904,0.978679,0.974959,0.975121,0.969788,0.895904,0.971500,0.973105,0.962613,0.957271,0.960728,0.949024,0.956982,0.948057,0.955096,0.946535,0.945892,0.948303,0.945945,0.936036,0.937647,0.933113,0.926534,0.934326,0.932653,0.932782,0.945833,0.947517,0.957256,0.962510,0.961173,0.956765,0.954216,0.894682,0.959027,0.968072,0.959445,0.954893,0.957792,0.944072,0.953673,0.937724,0.943493,0.943629
allando_v_savvaltas_alacsony_v35,0.971403,0.953677,0.949904,0.950639,0.938947,0.937095,0.938601,0.944257,0.944300,0.949174,0.980048,0.982392,0.990544,0.993878,1.000000,0.993234,0.990180,0.910004,0.972970,0.975317,0.960501,0.958522,0.960130,0.945582,0.954146,0.951593,0.956456,0.948350,0.959043,0.953685,0.949707,0.950866,0.940774,0.938225,0.939655,0.945675,0.945044,0.949741,0.965775,0.967067,0.974387,0.973895,0.978962,0.975175,0.971697,0.893919,0.972549,0.975457,0.960848,0.958560,0.960468,0.945961,0.954422,0.951614,0.956187,0.948691,0.943225,0.950872,0.947807,0.938073,0.938906,0.935850,0.929429,0.934843,0.934430,0.934661,0.944706,0.946698,0.956944,0.959251,0.965320,0.957868,0.956441,0.887660,0.960071,0.971218,0.957993,0.956467,0.958169,0.941621,0.951602,0.937941,0.942615,0.946051
allando_v_savvaltas_alacsony_v40,0.972486,0.953599,0.952241,0.951743,0.941197,0.938723,0.940532,0.946071,0.945525,0.950878,0.977313,0.981734,0.986476,0.992829,0.993234,1.000000,0.991664,0.906872,0.975955,0.973629,0.964225,0.960113,0.963591,0.951133,0.958919,0.951459,0.956805,0.949209,0.961970,0.953668,0.952201,0.951990,0.942014,0.939070,0.940377,0.946491,0.946180,0.951197,0.964546,0.968127,0.972457,0.974155,0.976195,0.981321,0.974368,0.887688,0.975651,0.973837,0.963849,0.959726,0.963678,0.951451,0.959438,0.951708,0.956812,0.949783,0.945927,0.952930,0.951958,0.941626,0.942830,0.937043,0.930909,0.936085,0.936304,0.938282,0.945088,0.948804,0.955170,0.959740,0.962675,0.963948,0.959570,0.883550,0.964753,0.970991,0.962314,0.959251,0.962520,0.949611,0.958552,0.940683,0.945553,0.947329
allando_v_savvaltas_alacsony_v45,0.965012,0.954672,0.953078,0.952943,0.941731,0.940139,0.943104,0.946145,0.945905,0.951452,0.974246,0.977935,0.985951,0.988608,0.990180,0.991664,1.000000,0.903667,0.976012,0.974623,0.963170,0.963348,0.964095,0.950529,0.957776,0.954126,0.957671,0.950896,0.955617,0.956142,0.954165,0.954336,0.943674,0.941564,0.944249,0.947819,0.947682,0.953032,0.963956,0.966374,0.974078,0.974040,0.975379,0.978308,0.982234,0.891798,0.975889,0.975309,0.963828,0.963639,0.964870,0.951513,0.958916,0.955071,0.959051,0.952683,0.945768,0.955515,0.952596,0.942076,0.944148,0.939619,0.934668,0.937450,0.938154,0.940098,0.947136,0.949666,0.958487,0.959704,0.962644,0.961932,0.967736,0.886349,0.964930,0.972299,0.962479,0.963049,0.963446,0.949054,0.957473,0.943532,0.947515,0.950206
allando_v_savvaltas_alacsony_v5,0.950345,0.892842,0.891154,0.889958,0.880655,0.875773,0.877867,0.883769,0.881335,0.886064,0.941375,0.920464,0.911467,0.916203,0.910004,0.906872,0.903667,1.000000,0.910325,0.912143,0.905971,0.904511,0.906394,0.889590,0.902017,0.895135,0.902070,0.889280,0.927087,0.891933,0.890002,0.889211,0.880761,0.874761,0.876962,0.883048,0.881108,0.885460,0.923273,0.920543,0.911111,0.912750,0.914610,0.911614,0.908608,0.957408,0.909866,0.911518,0.905259,0.903878,0.905958,0.888948,0.901232,0.894216,0.900917,0.888319,0.917591,0.891099,0.888415,0.885539,0.881155,0.874979,0.874242,0.882236,0.878641,0.879784,0.914878,0.913834,0.909325,0.910074,0.910937,0.907680,0.905759,0.942955,0.908525,0.909192,0.904149,0.903482,0.905101,0.885470,0.899459,0.889951,0.895498,0.887879
allando_v_savvaltas_alacsony_v50,0.949714,0.961331,0.959244,0.959586,0.948102,0.947517,0.946895,0.954964,0.952042,0.956975,0.953205,0.959097,0.968073,0.972902,0.972970,0.975955,0.976012,0.910325,1.000000,0.990258,0.979921,0.972347,0.975554,0.961139,0.971457,0.962747,0.964012,0.958071,0.965653,0.961394,0.959776,0.960321,0.949435,0.948481,0.947580,0.955841,0.953014,0.957910,0.972638,0.978622,0.982302,0.987318,0.988349,0.991646,0.988502,0.905713,0.996428,0.989245,0.979089,0.971642,0.974833,0.960726,0.971172,0.962340,0.963641,0.958235,0.962252,0.962660,0.960984,0.953341,0.951664,0.947861,0.943579,0.950850,0.948850,0.950029,0.960987,0.967850,0.974388,0.978838,0.981215,0.983202,0.981587,0.907194,0.990587,0.986427,0.976943,0.970618,0.972652,0.958147,0.970462,0.955473,0.957599,0.958101
allando_v_savvaltas_alacsony_v55,0.949397,0.964998,0.961836,0.963692,0.952183,0.952008,0.951781,0.959475,0.955842,0.960327,0.957085,0.960365,0.971076,0.972915,0.975317,0.973629,0.974623,0.912143,0.990258,1.000000,0.982600,0.975812,0.975626,0.961353,0.970816,0.965422,0.965942,0.960997,0.960030,0.964032,0.960728,0.963380,0.951684,0.951153,0.951668,0.958849,0.955113,0.959624,0.975592,0.978366,0.984210,0.986385,0.991427,0.987137,0.986590,0.903605,0.988588,0.996643,0.981394,0.974460,0.974258,0.960853,0.969980,0.964649,0.965394,0.960866,0.960776,0.965358,0.962557,0.957424,0.954015,0.951670,0.947681,0.954740,0.951613,0.952239,0.963703,0.968781,0.977840,0.980102,0.984090,0.980054,0.980483,0.908459,0.983700,0.993835,0.979937,0.973968,0.973629,0.958401,0.970065,0.957432,0.959240,0.961496
allando_v_savvaltas_alacsony_v60,0.952996,0.972903,0.968674,0.970443,0.959606,0.959078,0.960523,0.971822,0.964439,0.968363,0.955148,0.960722,0.959153,0.964318,0.960501,0.964225,0.963170,0.905971,0.979921,0.982600,1.000000,0.983686,0.985658,0.974059,0.982132,0.972659,0.976018,0.968538,0.968603,0.971640,0.967524,0.969586,0.958909,0.958339,0.959270,0.970986,0.963662,0.967404,0.970870,0.974833,0.968335,0.973526,0.976776,0.977598,0.973798,0.903152,0.978521,0.981483,0.996566,0.981976,0.983954,0.972788,0.980885,0.971454,0.974642,0.967457,0.967888,0.971098,0.966715,0.965713,0.959244,0.955875,0.956861,0.966846,0.960295,0.961279,0.965612,0.971389,0.967881,0.972453,0.972093,0.974017,0.971364,0.905677,0.976600,0.976908,0.995147,0.981715,0.983191,0.970712,0.978321,0.967100,0.970620,0.967180
allando_v_savvaltas_alacsony_v65,0.950649,0.976743,0.972059,0.979642,0.963722,0.969518,0.964085,0.967609,0.970739,0.967875,0.960913,0.959174,0.956194,0.958851,0.958522,0.960113,0.963348,0.904511,0.972347,0.975812,0.983686,1.000000,0.992480,0.969766,0.983437,0.975434,0.978561,0.975576,0.962603,0.975962,0.971057,0.978470,0.963202,0.968811,0.963525,0.966591,0.970167,0.967212,0.975703,0.972397,0.966001,0.967105,0.973967,0.972348,0.973666,0.900501,0.971928,0.975106,0.982489,0.996702,0.990736,0.968585,0.982351,0.974227,0.977372,0.974866,0.965621,0.975055,0.970206,0.973936,0.963198,0.966785,0.960629,0.963279,0.966223,0.961198,0.969566,0.969496,0.965286,0.967020,0.969206,0.969342,0.971185,0.903930,0.970060,0.970826,0.981272,0.996276,0.989561,0.966217,0.979364,0.969257,0.973018,0.974163
allando_v_savvaltas_alacsony_v70,0.953221,0.975554,0.972534,0.977491,0.964443,0.967244,0.962142,0.967502,0.969157,0.968159,0.959148,0.961138,0.956723,0.961733,0.960130,0.963591,0.964095,0.906394,0.975554,0.975626,0.985658,0.992480,1.000000,0.971122,0.985612,0.977261,0.980212,0.974099,0.965021,0.974547,0.971475,0.976209,0.963942,0.966394,0.961290,0.966470,0.968528,0.967428,0.974085,0.974920,0.966388,0.970090,0.975172,0.976247,0.973841,0.902646,0.975271,0.974807,0.984514,0.990721,0.997257,0.969624,0.984365,0.975948,0.978868,0.973352,0.967705,0.973834,0.970950,0.971648,0.963896,0.964353,0.958432,0.962921,0.964646,0.961319,0.968149,0.971396,0.964676,0.968960,0.970111,0.972625,0.970947,0.905201,0.972940,0.970563,0.983511,0.990391,0.995576,0.967795,0.981698,0.970921,0.974263,0.973097
allando_v_savvaltas_alacsony_v75,0.942253,0.960976,0.956292,0.956808,0.946077,0.946905,0.951348,0.956586,0.951310,0.953482,0.939348,0.944496,0.940224,0.949199,0.945582,0.951133,0.950529,0.889590,0.961139,0.961353,0.974059,0.969766,0.971122,1.000000,0.975159,0.964811,0.965258,0.958109,0.957645,0.959632,0.955118,0.955758,0.945367,0.945969,0.949992,0.955717,0.950626,0.952688,0.954854,0.957559,0.952364,0.956974,0.960201,0.963872,0.960184,0.885125,0.959858,0.960840,0.972504,0.968490,0.969439,0.997173,0.973692,0.963157,0.963621,0.956916,0.956337,0.959234,0.954186,0.951995,0.944925,0.943517,0.947678,0.951897,0.947275,0.946910,0.950495,0.955089,0.951690,0.956053,0.956463,0.960975,0.958321,0.888384,0.958598,0.956986,0.971325,0.968295,0.968765,0.994648,0.971516,0.958912,0.960099,0.956342
